Stunning and Brave,PC bro 5,"Fuck, bro?! [Cartman stops by the taco launchers, which are manned by Clyde, Craig, and Tweek]"
Where My Country Gone?,Randy,"[Approaching and gesturing like a siren] Weoo weoo weoo weoo weoo! Did somebody over here say ""illegal immigrants""? Because the correct term is ""undocumented immigrants,"" alright bro? [leaves]"
Where My Country Gone?,Mr. Garrison,"[hushed] It's like nobody cares! And they just keep comin'. Crossin' the border with their dirty families, playin' their stupid music! [looks to his left] I mean, look at 'em! I'll bet not ONE of them is here legally! [a group of Canadians is playing pool.]"
Where My Country Gone?,Canadian 1,Alright guy!
Where My Country Gone?,Canadian 2,Hey buddih!
Where My Country Gone?,Canadian 3,Hey buddih!
Where My Country Gone?,Canadian 4,"[the shooter] Hey, what's going on fwiend!"
Where My Country Gone?,Canadian 5,"[Wearing a Canada sweater] Hey, buddih! Another Moosehead, eh?"
Where My Country Gone?,Mr. Garrison,We should have put up a goddamned wall. [Jimbo and Richard now look at the Canadians as well]
Where My Country Gone?,President Obama,"But wait, there's still more, [the three man now look at the TV] because this country was built on dreamers, and Kyle, we want to make your dreams come true. And so here is your hero, Caitlyn Jenner. [applause as Caitlyn joins Barack and Kyle at the podium. Kyle is taken aback]"
Where My Country Gone?,Caitlyn Jenner,[with a lisp] I just wanna say thank you Kyle for your beautiful words of support.
Where My Country Gone?,President Obama,"Now Kyle, we've got another little surprise for you. We told you we were flying you back home, but the truth is, you're getting a ride back all the way with your hero! How do you like that?! [Ooohs and applause follow.]"
Where My Country Gone?,Scene Description,"Caitlyn Jenner's car, outside, moments later. She's ready to take Kyle home, while Kyle looks bewildered."
Where My Country Gone?,Caitlyn Jenner,"Buckle up, buckaroo! [Revs up and speeds away. Almost immediately an elderly person crosses her path and she runs her over, thoroughly killing her under her wheels. The press applauds.]"
Where My Country Gone?,Scene Description,"South Park Elementary, next day. Mr. Garrison enters his classroom along with his students."
Where My Country Gone?,Mr. Garrison,"Okay children, let's take our seats. As you've probably noticed, our government has decided to let anyone who wants to, cross the border and screw up our country! [before him is a crowded room, with more desks and lots of new Canadian students.] I know you're all as pissed off as I am, so why don't we begin today's lesson on why the once-great empire of Rome, fell to shit! Huh?! Who can tell my why Rome fell to shit?! [all the Canadian kids raise their hands] No, somebody who matters! [the Canadian students begin to clamor. Garrison puts his left hand over his nose and closes his eyes] Alright, fine, in the orange shirt."
Where My Country Gone?,Canadian kid 1,"[orange shirt] The Roman Empire, buddy, was facing ehh several issues, guy, as they reached the new millennium, friend, and rather-"
Where My Country Gone?,Mr. Garrison,"[irritated] Oh, speak in English! You see, [turns around and begins writing on the board] what happened is that these immigrants called Goths [writes the word and circles and underlines it] were welcomed into Roman territories [writes the word Roman on the board] because some people felt bad for them. [another Canadian boy checks his watch and hops off his seat, opens a small case and pulls out a trumpet] And then the Goths suddenly decided they were being oppressed, you see, and so then- [the boy begins to play a familiar tune, and Mr. Garrison turns around] What the hell are you doing?! [the other Canadian kids get out of their seats and whip out their trumpets to play the song]"
Where My Country Gone?,Canadian kid 2,"[in a suit] It's 8am, guy."
Where My Country Gone?,Mr. Garrison,"[loses his temper,throws his notes and chalk] Well that's it! Why don't you Canucks go back where you came from?! [they stop and look aghast at him]"
Where My Country Gone?,Scene Description,"The Principal's office, moments later. PC Principal is behind his desk with Mr. Mackey at his right side. PC Principal is barely containing his temper. Mr. Garrison is looking at him defiantly with arms crossed"
Where My Country Gone?,PC Principal,"You really think you can refer to an undocumented immigrant as a ""Canuck""?!"
Where My Country Gone?,Mr. Garrsion,"PC Principal, they got up in the middle of my lecture and started playing music!"
Where My Country Gone?,PC Principal,So did you forget that at eight and eleven all Canadians face east and play Chuck Mangione? [stands up and puts his hands on the desk] Or did you not care to find out about their religious customs?
Where My Country Gone?,Mr. Garrsion,"Thuh, they don't even speak English!"
Where My Country Gone?,PC Principal,"Then you need to be teaching in both languages from now on! Mackey, sign the faculty up for Canadian-language night classes!"
Where My Country Gone?,Mr. Garrsion,What?!
Where My Country Gone?,Mr. Mackey,"[bowing profusely] Yes, PC Principal! R-right away! M'kay?"
Where My Country Gone?,PC Principal,"You're on thin ice, Garrison! Get in line or you'll be out of a job, bro!"
Where My Country Gone?,Scene Description,"South Park Elementary cafeteria, lunchtime. Cartman, Kenny, Butters, and Token bring lunches from home while Stan, Kyle, Clyde and Craig get school lunches"
Where My Country Gone?,Stan,What are they doing now? [several tables have Canadian kids seated and eating. Butters stands up for a better look]
Where My Country Gone?,Butters,Well they're all eatin' together and praying. A-and they're puttin' syrup on their Mac & Cheese! [sits back down]
Where My Country Gone?,Clyde,"Ugh, so weird!"
Where My Country Gone?,Token,There's just so many of them.
Where My Country Gone?,Cartman,"You guys, I think this whole thing is a conspiracy."
Where My Country Gone?,Token,Whattaya mean?
Where My Country Gone?,Cartman,Think about what happened: American has pretty secure border for years. Kyle gives a big speech about tolerance and acceptance that goes viral. A bunch of Canadians cross the border illegally. Kyle's brother is Canadian. What if Kyle knowingly gave that speech to get all the illegals in?
Where My Country Gone?,Kyle,[annoyed] I'm sitting right here.
Where My Country Gone?,Cartman,And he's sitting right here.
Where My Country Gone?,Kyle,You really think just my speech brought on a wave of illegal immigration?!
Where My Country Gone?,Stan,"You did kind of go overboard, dude."
Where My Country Gone?,Kyle,"[looks at Stan, betrayed] What?!"
Where My Country Gone?,Stan,"It's just... I know you like giving speeches and stuff, but not everything is black and white."
Where My Country Gone?,Clyde,"Yeah, I mean, it's fine you wanna go preach about Caitlyn Jenner, but you can't just make blanket statements about letting anyone do whatever they want."
Where My Country Gone?,Kyle,I didn't even want to give that speech!
Where My Country Gone?,Cartman,"[interrupting] Yeah, yeah, this is interesting. Have you guys read Genesis Thirty-four?"
Where My Country Gone?,Butters,Uhn-un.
Where My Country Gone?,Cartman,"Well, it's intriguing, because in Genesis Thirty-four, the Jews actually did something similar to what Kyle is doing now."
Where My Country Gone?,Kyle,Uh I'm not responsible for this! Illegal immigration has been happening forever.
Where My Country Gone?,Cartman,But it's happening a lot more now. After you decide to give a big speech about Caitlyn Jenner. Because you want to bring down the cultural fabric of America. 'Cause you're a Jew.
Where My Country Gone?,Kyle,"You guys, immigrants, either legal or illegal, are always gonna find ways to cross into richer countries if they're not living-"
Where My Country Gone?,Stan,"[briefly puts his left hand over his nose] Oh boy, here we go again. [the other boys leave as well]"
Where My Country Gone?,Cartman,"Yeah, I'm out."
Where My Country Gone?,Butters,"Yeah, sorry. I can't listen to another one either. [Kyle is left alone, bewildered]"
Where My Country Gone?,Scene Description,"South Park Elementary, a different classroom, evening. There are watermarks everywhere, so this room hasn't been used for a while"
Where My Country Gone?,Mr. Stkrdknmibalz,"Happy evening, friends. My name is Mr. Stkrdknmibalz, (stick-yer-dick-in-my-balls) and we are going to learn Canadian. [Garrison shifts in his seat] With a lot of practice, you're going to find that speaking Canadian isn't so difficult. And in fact, our alphabet and yours are fairly similar. So why don't we begin singing it together? [Clears his throat] A B C D E F Guy H I J K L M N O Buddih Q R S T U Fwiend W X Eh! And [farts] These are Canadian ABCs Susie likes hairy balls. Whattaya think of these? Alright, now everyone!"
Where My Country Gone?,Class,[begins singing] A B C D E F Guy H I J K L M N O Buddih Q R S T U Fwiend W X Eh And [Mr. Garrison begins to daydream]
Where My Country Gone?,Scene Description,"Montage: Mr. Garrison on a bridge overlooking a river. he sees several Canadians enjoying themselves in inner tubes in the river. He sighs and walks away. Next, he's in line to get into the DMV during the day, but the line is full of Canadians. Next, new STOP signs go up that now have BUDDY under the STOP. Mr. Garrison is at the intersection waiting for the green light. A truck pulls up with a bunch of kids in the truck bed, no seat belts. Next, he's at the old town bar singing on a corner stage and playing a guitar. The regulars hold up their fists in solidarity. Next, he passes by a food cart. The cook there is selling beaver tails for five dollars. Then he passes by a newly-sold house with a Canadian couple cheering their purchase. Then he's back at the bar, with more listeners holding up lighters in solidarity. Next, he looks out his window and finds a bunch of supporters on his lawn pleading for him to lead them. Next, he walks by some Canadian kids playing street hockey, then he passes by the school"
Where My Country Gone?,Mr. Garrison,"Where has my country gone? Where has my country gone? It was a land of opportunity that we held dear But now all these other assholes are comin' here. And where's my country gone? It was just here like, two seconds ago. 'Cause when they said that this was the land of the free I'm pretty sure that they were referring to me And my country's gone! It got upset and now it's wandered away It took 43 Presidents to make us stand tall And just one black guy to unravel it all Country gone! Please tell it that we need her back home. There's a great big hole in the liberty bucket 'Cause someone forgot to tell the foreigners to suck it! And now they're all hanging out on my lawn... [trumpets come up and play ""Feels So Good""] And now they're ruining my song Makin' it sound like Chuck Mangione [trumpets fade out] Where has my country gone?"
Where My Country Gone?,Scene Description,"Montage ends, and the camera settles on Mr. Garrison leading a rally at the town square, with his supporters around him."
Where My Country Gone?,Mr. Garrison,"Seems like everyone's afraid to speak the truth around here! Well I'm throwin' my hat in and sayin' I'll figure this thing out! Now I might not understand politics, or immigration policies, or... the law. Or basic... ideological... concepts. But dammit I understand there there's a bunch of Canadians here and I'm gonna do somethin' about it! [applause and cheers]"
Where My Country Gone?,Scene Description,"South Park Elementary gymnasium. PC Principal has called the student body in and put the Canadians on the basketball court and the Americans on the bleachers. The Canadian kids are standing in two lines. The front line wear different costumes that represent different time periods and icons in Canadian history, including the First Settlers of Canada, foreign explorers, a Mountie and a Canadian soldier. The second line consists of a band and choir."
Where My Country Gone?,PC Principal,"Alright everyone, listen up. In order for better understanding we've asked students of Canadian origin to introduce you to their culture and [spots a disturbance in the stands] HEY LESLIE! SHUT YOUR FUCKIN' MOUTH! [Leslie stops whispering into her friend's ear and looks at PC Principal] - to introduce you to their culture and customs. So let's give them our undivided attention as they take us on a whirlwind journey through their diverse history."
Where My Country Gone?,Three students dressed in Native American garb,"We are the Hopewell and Abenaki, first settlers of Canadian soil--"
Where My Country Gone?,Kindergartner,Guy.
Where My Country Gone?,Five students dressed in European clothing,"We are French and British explorers, seeking furs and goods. [Mr. Garrison walks up and takes the mic]"
Where My Country Gone?,Mr. Garrison,"Yeah, and I'm Dan Rather, and I got news for you! Nobody wants you here! [the gym is silent] Sorry not sorry! It's time for someone to say it like it is, and make our country great again!"
Where My Country Gone?,PC Principal,"Garrison, what do you think you're-?"
Where My Country Gone?,Mr. Garrison,"And I'm also not afraid to stand up to PC Principal! You, sir, have a pizza face and you suck your mom's dick!"
Where My Country Gone?,PC Principal,That's it Garrison! You are fired from South Park Elementary!
Where My Country Gone?,Mr. Garrison,"Oh, see? And now I'm fired! That's the cold, hard truth of immigration! Well there's only one immigration policy that I believe in, and that's fuck 'em all to death! [the students gasp] I'm just sayin' what everyone's thinkin' here kids!, Sorry not sorry![The school hallway, moments later. The Canadian kids walk out of school in anger]"
Where My Country Gone?,Stan,"Dude, the Canadians are pissed off."
Where My Country Gone?,Token,Can you really blame them?
Where My Country Gone?,Butters,What made Mr. Garrison do that?
Where My Country Gone?,Cartman,"Guys, what if this was all exactly what Kyle planned? Get the Canadians here, make them feel persecuted, and then what? Uprisings? Rebellion? Next thing you know, they're sending us to camps and using us as livestock!"
Where My Country Gone?,Butters,You really think Kyle would do that?
Where My Country Gone?,Stan,"That doesn't matter. We have to think of a way to smooth this over, fast."
Where My Country Gone?,Cartman,"Yeah, we're gonna need a symbolic union."
Where My Country Gone?,Token,A what?
Where My Country Gone?,Cartman,"You know, what's that story about the two sides that were fighting and, then a guy from one side got with a girl from the other side and their love sort of brought the groups together?"
Where My Country Gone?,Butters,Lion King II?
Where My Country Gone?,Cartman,"[snaps his fingers and points to Butters] Yes, Lion King II. I mean, if we can get one of us to go out with one of them - probably, have sex - then it could be a symbol of us all getting along."
Where My Country Gone?,Craig,"Yeah, it's kind of like when the princess of one country marries the prince of another."
Where My Country Gone?,Kyle,"Oh, come on, this is stupid. You guys, when two groups of people don't understand each other you can't just try and diffuse the tension with a little-"
Where My Country Gone?,Cartman,"Is he seriously? Is he seriously giving a speech right now? [all quiet] Is he SERIOUSLY giving a speech right now?! [the other boys look back at Kyle angrily, and Kyle is left speechless] This is gonna have to happen pretty fast, so whoever's gonna do it needs to ask a Canadian girl out soon. 1 2 3 Not it."
Where My Country Gone?,"Stan, Craig, Kenny, Clyde, Token",[one after the other] Not it!
Where My Country Gone?,Butters,"No, no. Not it! Oh. OH SHIT!"
Where My Country Gone?,Scene Description,CNN report.
Where My Country Gone?,Anchor Tom,Support is growing for a Colorado man who claims the way to deal with illegal immigrants is to fuck them all to death. We go live to Minnesota.
Where My Country Gone?,Scene Description,"Niagara Falls, Minnesota, day. Mr. Garrison goes around greeting supporters and waving to them or the camera"
Where My Country Gone?,Field reporter,"Tom, the political activist is going around the country to get support for his agenda, and- Uh Mr. Garrison, you believe the immigration problem is easy to solve?"
Where My Country Gone?,Mr. Garrison,Yes. Fuck them all to death. Let'a make this country great again. [cheers swell from his supporters]
Where My Country Gone?,Field reporter,"And when you say ""Fuck them all to death,"" what are you actually suggesting be done?"
Where My Country Gone?,Mr. Garrison,"I'm suggesting we round them all up, pull down their pants, and fuck them until their spirits leave their bodies!"
Where My Country Gone?,Supporter 1,[wearing a Snap Right Tools cap] USA!
Where My Country Gone?,Mr. Garrison,"And then, after we've fucked every last one of 'em to death, we build a big wall! And if anyone comes over the wall, we fuck them to death too! And then we fuck to death all the-"
Where My Country Gone?,Tom,Uh Dan? Dan? We're getting word that a wall has already been built. [to the control booth] Is that right? Yes? Yeah- CNN is confirming that Canada has built a wall to keep us out.
Where My Country Gone?,Mr. Garrison,"What do you mean they built a wall?! They can't build a fucking wall! Oh, fuck them to death!"
Where My Country Gone?,Scene Description,"[Moments later, Garrison and his supporters rush to the border in their cars, where they are met with a very tall wall. A lone guard sits atop the 40-foot wall, and the Americans get out of their cars]"
Where My Country Gone?,Guard,"Hey there! Beautiful day, isn't it?"
Where My Country Gone?,Mr. Garrison,What the hell is this?!
Where My Country Gone?,Guard,"Oh this? This is a wall. Sorry buddih, nobody allowed in."
Where My Country Gone?,Jimbo,Can they do that?
Where My Country Gone?,Mr. Garrison,"Look, we came to speak with your government about that"
Where My Country Gone?,Guard,"Yeah, no, sorry! Everything past here is ours. You can't, you can't go past, past here."
Where My Country Gone?,Mr. Garrison,We're Americans! We don't even want to be over there! What do you think we're gonna do?
Where My Country Gone?,Guard,"Well, you know, we just don't want you ... raping our women and stuff."
Where My Country Gone?,Supporter 2,That is ridiculous! [crosses his arms]
Where My Country Gone?,Mr. Garrison,"All right, smartass! That's just about enough-"
Where My Country Gone?,Guard,"Look, there's just some really cool shit back here and we don't feel like sharing it."
Where My Country Gone?,Mr. Garrison,[suddenly curious] Cool shit like what?
Where My Country Gone?,Guard,Don't worry aboot it.
Where My Country Gone?,Mr. Garrison,No! What's back there? Let me see!
Where My Country Gone?,Jimbo,"[pulling him back] It's all right, Garrison."
Where My Country Gone?,Mr. Garrison,"No! Goddammit, let me see!"
Where My Country Gone?,Scene Description,"South Park Elementary playground, day. The Americans and Canadians have separated into their own cliques. Cartman and Butters stand between the groups checking out the Canadian girls. Butters is still pissed that he lost"
Where My Country Gone?,Cartman,What about that one? In the glasses? She's kinda hot.
Where My Country Gone?,Butters,She's not hot! She looks like a messed-up cucumber with wieners on it!
Where My Country Gone?,Cartman,"All right, how about the lanky one, there? Ooo, ooo, What about the one in the hat? She kind of looks like Alanis Morissette, huh?"
Where My Country Gone?,Butters,Alanis Morissette is like 80 years old or something! [stomps his right foot down on the snow] Jeez!
Where My Country Gone?,Cartman,"Okay, Bu-Butters, relax."
Where My Country Gone?,Butters,"Well I don't want a Canadian girlfriend, Eric!"
Where My Country Gone?,Cartman,Okay. Do you just want a race war?
Where My Country Gone?,Butters,No! The one in the white shoes isn't that ugly.
Where My Country Gone?,Cartman,"Okay, go fuck the one in the white shoes."
Where My Country Gone?,Butters,"Okay! [walks over to the bench with the girl in white shoes next to it] Hi, my name's Butters, what's yours."
Where My Country Gone?,Charlotte,I'm Charlotte. [her friends giggle]
Where My Country Gone?,Butters,"Oh Charlotte, I've never done this before. You think Scar's up there? He wasn't my father, but he's still part of me. Oh no, Simba, we have barely begun. We'll run away together and ... and...?"
Where My Country Gone?,Cartman,[satisfied with the way Butters interaction is playing out. To himself] And start a pride all of our own.
Where My Country Gone?,Scene Description,"CNN Report, at the Canadian border. Dan, the field reporter, is updating"
Where My Country Gone?,Dan,"Tom, the scene at the Canadian border is electric as several political leaders try and strategize how to deal with being shut out of Canada. [in the background three podiums appear on the road right in front of the wall. Garrison and two other leaders step up to the mics.]"
Where My Country Gone?,Male politician,"If the Canadian government wants to put up a wall, they have every right."
Where My Country Gone?,Female politician,"And yet, we must ask why they thought this to be necessary."
Where My Country Gone?,Mr. Garrison,"No, fuck them and fuck you! [points at the female politician] I wanna see if they have really cool shit back there!"
Where My Country Gone?,Female politician,What we need is a-
Where My Country Gone?,Mr. Garrison,No! [points at the female politician] You've got a gaping gash [points at the male politician] and you've got vinegary balls! The Canadians can't do this! Don't they realize that hundreds of thousands of their people are over here illegally?
Where My Country Gone?,Guard,"Oh, you guys didn't put up a wall?"
Where My Country Gone?,Mr. Garrison,"And you keep your goddamned mouth shut, smart-ass! I'll deal with you! [cheers and applause from his supporters. He turns to face them.] I get things done, and I'm gettin' back there! [more cheers and applause]"
Where My Country Gone?,Scene Description,An outdoor mall in South Park. Butters returns with some ice cream for himself and Charlotte.
Where My Country Gone?,Butters,Here you go.
Where My Country Gone?,Charlotte,"Thanks, Butters. I'm sore-y I didn't know what ice cream was."
Where My Country Gone?,Butters,"What's ""sore-y""?"
Where My Country Gone?,Charlotte,Well that's what Canadians say to express remorse.
Where My Country Gone?,Butters,"Oh. Heh, he-hey, heh that's neato. [his cell phone rings] Oh. Eh, hang on Charlotte, one sec. [walks off a bit and picks up] What do you want?!"
Where My Country Gone?,Cartman,Have you given her the old Hot Cosby yet?
Where My Country Gone?,Butters,"No, we saw a movie and now we're goin' to the park."
Where My Country Gone?,Cartman,"Butters, we don't have time for that! I told you you have to cut to the chase with a Hot Cosby!"
Where My Country Gone?,Butters,"If I'm gonna be with this girl, I don't want her someday thinking it was all super-rushed!"
Where My Country Gone?,Cartman,"Nobody cares about forty years from now when she suddenly changes her mind, Butters! Time is of the essence! We're all gonna die! [hangs up. Butters returns to Charlotte]"
Where My Country Gone?,Charlotte,Everything all right?
Where My Country Gone?,Butters,"Yeah, just some work-related stuff."
Where My Country Gone?,Charlotte,"So hey, I wanted to see if you wanted to come over to my house for dinner tomorrow."
Where My Country Gone?,Butters,"[getting nervous] Oh boy, yes I'd love to, here we go, oh God."
Where My Country Gone?,Scene Description,Niagara Falls National Park. The camera looks at the falls and then pans to the left to show Mr. Garrison being lowered into a barrel by Jimbo and Ned.
Where My Country Gone?,Mr. Garrison,"Okay that's, that's good. Watch the balls. Okay, all right, give me the helmet. [Jimbo reaches down and hands the helmet to Mr. Garrison] We'll see what they've got behind that goddamned wall! [turns around to face his supporters] You know what I am, friends? I'm a doer."
Where My Country Gone?,Supporters,"Yeah. Yeah, that's right."
Where My Country Gone?,Mr. Garrison,"Canada says we can't go into their country, I'm going into their country! And when I do, I am fucking every last Canadian... so hard! [cheers and applause] All right, let's do this! [drops down into the barrel. Jimbo and Ned seal it up. Several supporters lift the barrel up over their shoulders and carry it to the railing]"
Where My Country Gone?,Supporters,USA USA USA USA USA! [they throw it into the river and watch it approach the falls] USA USA USA! [the barrel goes over the falls and breaks up a few seconds later. Jimbo screams] USA US-!
Where My Country Gone?,Jimbo,"Aww, he's dead."
Where My Country Gone?,Scene Description,"Charlotte's house, evening. Butters is her guest for dinner. She has a grandmother living with her, as well as a brother and sister"
Where My Country Gone?,Dad,"So young man, I understand that you and my daughter have started a romance."
Where My Country Gone?,Butters,"Well uh, well yes, sir."
Where My Country Gone?,Dad,"And I suppose you have a thing for Canadian girls, huh? Is that it? You've got maple fever?"
Where My Country Gone?,Charlotte,"Ey, daddy!"
Where My Country Gone?,Dad,"I'm sore-y, Charlotte, but I get suspicious. It's bad enough we have to live in America, now all the boys with maple fever are gonna wanna have at our daughter."
Where My Country Gone?,Mom,"That's enough, Thomas!"
Where My Country Gone?,Butters,"W-wait, you don't wanna be here?"
Where My Country Gone?,Charlotte,Why would we want to be here?
Where My Country Gone?,Butters,"Wuh well, you know, 'cause everything is great here, and we have cool stuff."
Where My Country Gone?,Thomas,Canada has everything. It's the greatest country on Earth.
Where My Country Gone?,Butters,"But- so- then, why did you leave?"
Where My Country Gone?,Thomas,"[sighs and gets up from the his chair, and walks over to a window] There were several candidates during the Canadian elections. One of them was this brash asshole who just spoke his mind. He didn't really offer any solutions, he just said outrageous things. we... thought it was funny. [the mom begins to cry quietly, and her son comforts her] Nobody really thought he'd ever be President. It was a joke! But we just let the joke go on for too long. He kept gaining momentum, and by the time we were all ready to say ""Okay, let's get serious now. Who should really be President?"" he was already being sworn into office. [turns around] We weren't paying attention. [collapses and begins to cry, bumping into the table against the window] We weren't paying attention! [lets out all his tears and the family gathers around him to comfort him.]"
Where My Country Gone?,Butters,"Jeez, how bad can a president be?"
Where My Country Gone?,Scene Description,"Back in Canada, the new President, a middle-age man resembling a likeness to Donald Trump, sits at his desk."
Where My Country Gone?,Mr. President,"If certain people want to leave this country, then let them! You tell those pussy homos they can suck my balls!"
Where My Country Gone?,Johnson,But Mr. President-
Where My Country Gone?,Mr. President,"And tell the Prime Minister of China that HE can suck my balls! Oh, and Johnson?"
Where My Country Gone?,Johnson,Mr. President?
Where My Country Gone?,Mr. President,Suck my balls.
Where My Country Gone?,Scene Description,"Charlotte's backyard, after dinner. The yard is more like a garden, with flowers everywhere, swaying gently in the breeze. She and Butters are on a bench swing holding hands"
Where My Country Gone?,Charlotte,I'm sore-y about my papa. He can be really emotional sometimes.
Where My Country Gone?,Butters,"You don't got to be sore-y. It's me who should be sore-y. I think everyone has the wrong idea about your people, Charlotte."
Where My Country Gone?,Charlotte,It's okay. We just have to give them time.
Where My Country Gone?,Butters,"I wasn't supposed to have time. I was supposed to give you a Hot Cosby, so our species could coexist. But now I realize you guys don't even wanna be here."
Where My Country Gone?,Charlotte,Oh.. so do you want to be here? Now?
Where My Country Gone?,Butters,"There's really nowhere I'd rather be. [smiles] If it's okay with you, well I'd like to try a nice Slow Cosby instead."
Where My Country Gone?,Charlotte,"In Canada, we call a Slow Cosby ... love. [kisses Butters on the cheek. Butters strokes it and smiles again] Oh look! [a meteorite zooms across the sky] A shooting star! In Canada, we say that's... good luck."
Where My Country Gone?,Butters,So do we.
Where My Country Gone?,Scene Description,"A concrete channel with a slow-moving river running through it on the Canadian side of the border. Mr. Garrison comes to, groans, and slowly gets up. He leaves the channel and finds himself looking at an abandoned Canadian city."
Where My Country Gone?,Mr. Garrison,"Hello? [his voice echoes through the canyon of high-rises in the city. He walks by an empty coffee shop with a loose door banging in the wind. He hears a man sobbing, but sees abandoned cars, paper strewn everywhere, trash... he finds the man sitting on the roof of a 13-story law office building]"
Where My Country Gone?,Man,Oh God! Oh God!
Where My Country Gone?,Mr. Garrison,"Hey! Where is everyone, guy? [the man sobs some more and then stands and jumps to his death.] Jeez."
Where My Country Gone?,Scene Description,"Montage. As ""Safety Dance"" plays, Mr. Garrison walks through an empty mall and notices an escher-esque assortment of escalators there. Mr. President is dancing away. Mr. Garrison sees the activity and walks over, not sure what to make of it all. Mr. President notices him and stops"
Where My Country Gone?,Mr. President,What?! Hey! How did a US citizen get past my wall?!
Where My Country Gone?,Mr. Garrison,I came here to find out where my country gone!
Where My Country Gone?,Mr. President,Where your country gone? Where my country gone?!
Where My Country Gone?,Mr. Garrison,"No, where my country gone, bitch?!"
Where My Country Gone?,Mr. President,"Nobody talks to me like that, buddih! [goes around his desk]"
